Ecosystem Indicators,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"PDO
(Sum Dec-March)",5.07,-1.75,-4.17,1.86,-1.73,7.45,1.85,2.44,1.94,-0.17,-3.06,-5.41,2.17,-3.65,-5.07,-1.67,1.24,9.26,6.69,3.38,1.52,2.01,-0.76,-2.77,-5.32
"PDO
(Sum May-Sept)",-0.37,-5.13,-3.58,-4.22,-0.26,3.42,2.96,3.48,0.28,0.91,-7.63,-1.11,-3.53,-6.45,-7.79,-3.47,5.07,8.08,6.6,2.18,0.45,3.94,-1.35,-6.64,-9.46
"ONI
(Average Jan-June)",1.12,-1.07,-1.07,-0.4,0.18,0.27,0.2,0.47,-0.3,0.08,-0.98,-0.23,0.55,-0.72,-0.43,-0.3,-0.28,0.67,1.22,0.13,-0.45,0.72,0.28,-0.72,-0.98
"SST NDBC buoys 
(°C; May-Sept)",13.77,13.2,13.33,12.98,13.05,13.56,14.68,13.58,12.73,13.64,12.45,13.44,12.76,13.23,13.34,13.72,14.03,13.89,13.83,13.59,13.71,14.68,13.4,12.95,13.73
"Upper 20 m T
(°C; Nov-Mar)",12.3,10.31,10.12,10.22,10.08,10.7,10.86,10.61,10.59,10.04,9.33,10.19,11.01,10.02,9.62,10.12,9.62,12.73,12.03,11.47,10.63,10.99,9.37,10.12,10.59
"Upper 20 m T
(°C; May-Sept)",10.35,10.07,10.16,9.76,8.99,9.62,11.31,10.73,9.97,10.07,9.3,9.9,10.42,9.95,9.92,10.43,10.95,10.69,10.32,10.14,10.34,11.31,10.87,9.85,10.85
"Deep temperature
(°C; May-Sept)",8.59,7.63,7.74,7.56,7.46,7.81,7.88,7.97,7.83,7.58,7.48,7.73,7.89,7.81,7.56,7.94,8.38,8.14,7.89,8.06,8.11,8.04,8.68,7.54,8.16
"Deep salinity
(May-Sept)",33.54,33.86,33.78,33.86,33.85,33.68,33.66,33.77,33.85,33.88,33.87,33.72,33.61,33.75,33.75,33.76,33.53,33.71,33.83,33.85,33.85,33.79,33.54,33.89,33.62
"Copepod richness anom.
(no. species; May-Sept)",4.11,-3,-3.83,-1.45,-1.54,1.56,1,3.96,2.26,-1.05,-1.19,-1.07,2.7,-2.56,-1.74,-2.94,-0.54,7,7.73,2.36,-0.04,-0.37,-2.1,-2.87,-3.6
"N. copepod biomass anom.
(mg C m-3; May-Sept)",-0.77,0.04,0.14,0.14,0.28,-0.14,0.05,-0.85,-0.02,0.13,0.25,0.14,0.16,0.43,0.38,0.27,0.25,-0.29,-0.9,-0.64,0.21,0.39,0.47,0.55,0.09
"S. copepod biomass anom.
(mg C m-3; May-Sept)",0.57,-0.26,-0.24,-0.24,-0.26,0.06,0.17,0.52,0.04,-0.1,-0.26,-0.21,0.18,-0.17,-0.21,-0.23,-0.05,0.39,0.47,0.29,-0.03,0.1,-0.18,-0.24,-0.24
"Biological transition
(day of year)",365,134,102,101,120,156,146,238,150,89,64,65,169,82,125,91,91,365,365,193,149,156,97,106,83
"Nearshore Ichthyoplankton
Log(mg C 1,000 m-3; Jan-Mar)",0.48,1.64,0.97,1.27,1.95,0.4,0.32,0.49,1.16,0.48,1.64,0.62,1.87,1.21,1.55,1.09,0.46,0.51,0.49,0.64,1.12,0.43,1.25,1.39,0.73
Nearshore/offshore Ichthyoplankton community index (PCO axis 1 scores; Jan-Mar),-9.47,-20.44,-28.9,-14.48,-13.98,-2.29,19.37,33.14,-32.5,9.04,-31.77,-3.8,11.26,-29.42,-32.83,-16.73,-14.22,30.37,33.58,38.82,28.84,32.46,12.77,3.87,0.8
"Chinook salmon juvenile
catches (no. km-1; June)",0.09,0.29,0.22,0.12,0.23,0.2,0.15,0.06,0.17,0.18,0.43,0.22,0.24,0.16,0.29,0.25,0.22,0.15,0.11,0.02,0.12,0.16,0.08,0.18,0.19
"Coho salmon juvenile
catches (no. km-1; June)",0.08,0.28,0.24,0.44,0.42,0.43,0.22,0.07,0.25,0.47,0.45,0.33,0.31,0.25,0.26,0.49,0.3,0.26,0.26,0.07,0.46,0.26,0.24,0.27,0.38
Principal Component scores (PC1),5.2,-2.79,-2.45,-2.01,-2.74,1.1,2.41,3.96,-0.47,-0.78,-4.93,-1.56,0.26,-2.51,-3.2,-1.98,0.48,5.34,5.38,3.27,0.16,2.31,0.03,-2.8,-1.68
Principal Component scores (PC2),-0.11,-0.79,0.5,-1.2,-2.12,-0.81,2.07,-0.53,-1.6,0.25,-1.98,0.53,-0.81,0.45,-0.15,0.97,2.97,-1.08,-2.35,-0.89,0.23,1.98,3.08,-0.67,2.57
"Physical Spring Trans.
UI based (day of year)",83,88,134,120,84,109,113,142,109,70,87,82,95,105,123,97,129,103,86,116,105,109,94,81,161
Physical Spring Trans. Hydrographic (day of year),187,119,142,129,120,141,157,209,123,136,102,136,169,119,140,106,162,124,164,179,157,156,179,106,178
"Upwelling Anomaly
(Sum April-May)",-14,19,-36,2,-12,-34,-27,-55,-14,9,0,-5,-35,-36,-35,-21,-37,50,28,-45,8,14,-27,30,-59
"Length of Upwelling Season
UI based (days)",191,205,151,173,218,168,177,129,195,201,179,201,161,153,161,163,133,175,186,172,189,178,157,178,133
"Copepod Community Index
(MDS axis 1 scores; May-Sept)",0.64,-0.96,-0.89,-0.85,-0.95,-0.24,-0.26,0.49,-0.12,-0.71,-0.98,-0.86,-0.31,-0.73,-0.87,-0.92,-0.47,0.43,0.76,0.36,-0.36,-0.25,-0.68,-0.96,-0.965789
